Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-06-29;Est-Nord;168000.0;75;18.0;1.0;9333
2021-06-28;Est-Nord;239209.0;75;18.0;1.0;13289
2021-10-22;Est-Nord;162000.0;75;17.0;1.0;9529
2021-06-10;Est-Nord;200000.0;75;25.0;1.0;8000
2021-06-28;Est-Nord;272500.0;75;26.0;1.0;10481
2021-10-20;Est-Nord;106700.0;75;19.0;1.0;5616
2021-01-20;Est-Nord;12000.0;75;19.0;1.0;632
2021-02-01;Est-Nord;342000.0;75;29.0;1.0;11793
2021-06-11;Est-Nord;530500.0;75;21.0;1.0;25262
2021-01-27;Est-Nord;180000.0;75;21.0;1.0;8571
2021-01-26;Est-Nord;289000.0;75;30.0;1.0;9633
2021-02-12;Est-Nord;249900.0;75;26.0;1.0;9612
2021-02-05;Est-Nord;126500.0;75;13.0;1.0;9731
2021-10-07;Est-Nord;250000.0;75;23.0;1.0;10870
2021-02-01;Est-Nord;439010.0;75;24.0;1.0;18292
2021-07-01;Est-Nord;265000.0;75;18.0;1.0;14722
2021-06-18;Est-Nord;213000.0;75;16.0;1.0;13312
2021-10-12;Est-Nord;135000.0;75;20.0;1.0;6750
2021-06-16;Est-Nord;116000.0;75;13.0;1.0;8923
2021-02-17;Est-Nord;362600.0;75;19.0;1.0;19084
