Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
9;Ouest-Sud;410000.0;75;36.0;1.0;11389
8;Ouest-Sud;60000.0;75;20.0;1.0;3000
9;Ouest-Sud;305000.0;75;29.0;1.0;10517
3;Ouest-Sud;150000.0;75;12.0;1.0;12500
9;Ouest-Sud;139000.0;75;10.0;1.0;13900
8;Ouest-Sud;400000.0;75;35.0;1.0;11429
9;Ouest-Sud;870000.0;75;12.0;1.0;72500
3;Ouest-Sud;100000.0;75;12.0;1.0;8333
9;Ouest-Sud;155000.0;75;17.0;1.0;9118
3;Ouest-Sud;13000.0;75;25.0;1.0;520
3;Ouest-Sud;385000.0;75;28.0;1.0;13750
2;Ouest-Sud;175000.0;75;12.0;1.0;14583
8;Ouest-Sud;360000.0;75;33.0;1.0;10909
2;Ouest-Sud;25000.0;75;20.0;1.0;1250
3;Ouest-Sud;310000.0;75;28.0;1.0;11071
9;Ouest-Sud;64500.0;75;10.0;1.0;6450
8;Ouest-Sud;134450.0;75;9.0;1.0;14939
9;Ouest-Sud;280000.0;75;18.0;1.0;15556
9;Ouest-Sud;280000.0;75;22.0;1.0;12727
3;Ouest-Sud;163000.0;75;17.0;1.0;9588
3;Ouest-Sud;365000.0;75;34.0;1.0;10735
8;Ouest-Sud;251000.0;75;20.0;1.0;12550
9;Ouest-Sud;751500.0;75;17.0;1.0;44206
2;Ouest-Sud;416450.0;75;15.0;1.0;27763
9;Ouest-Sud;310000.0;75;21.0;1.0;14762
3;Ouest-Sud;385000.0;75;35.0;1.0;11000
3;Ouest-Sud;143000.0;75;11.0;1.0;13000
9;Ouest-Sud;300000.0;75;29.0;1.0;10345
9;Ouest-Sud;268375.0;75;20.0;1.0;13419
3;Ouest-Sud;252500.0;75;23.0;1.0;10978
2;Ouest-Sud;367194.0;75;31.0;1.0;11845
3;Ouest-Sud;130000.0;75;17.0;1.0;7647
9;Ouest-Sud;460000.0;75;44.0;1.0;10455
