Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-11-17;Normandie;119722.0;54.0;2.0;2433.0
2021-11-18;Normandie;136679.0;62.0;3.0;2093.0
2021-11-19;Normandie;95100.0;54.0;2.0;1750.0
2021-11-20;Normandie;88000.0;42.0;2.0;2095.0
2021-11-22;Normandie;101804.0;43.0;2.0;2512.0
2021-11-23;Normandie;98333.0;54.0;2.0;1889.0
2021-11-24;Normandie;117350.0;47.0;2.0;2675.0
2021-11-25;Normandie;113355.0;49.0;2.0;3661.0
2021-11-26;Normandie;141235.0;63.0;3.0;2421.0
2021-11-29;Normandie;332577.0;50.0;2.0;9180.0
2021-11-30;Normandie;98960.0;54.0;2.0;1935.0
2021-12-01;Normandie;199520.0;66.0;3.0;2857.0
2021-12-02;Normandie;107800.0;38.0;2.0;2934.0
2021-12-03;Normandie;76976.0;52.0;2.0;1539.0
2021-12-06;Normandie;149565.0;65.0;3.0;2342.0
2021-12-07;Normandie;100400.0;36.0;2.0;2660.0
2021-12-08;Normandie;137432.0;66.0;3.0;2044.0
2021-12-09;Normandie;59000.0;38.0;2.0;1723.0
2021-12-10;Normandie;137577.0;54.0;3.0;2631.0
2021-12-13;Normandie;168162.0;59.0;2.0;2774.0
2021-12-14;Normandie;88500.0;54.0;3.0;1885.0
2021-12-15;Normandie;156588.0;46.0;2.0;3897.0
2021-12-16;Normandie;91214.0;50.0;2.0;1934.0
2021-12-17;Normandie;128267.0;55.0;2.0;2377.0
2021-12-18;Normandie;231375.0;50.0;2.0;5683.0
2021-12-20;Normandie;107652.0;51.0;3.0;2513.0
2021-12-21;Normandie;143244.0;69.0;3.0;2220.0
2021-12-22;Normandie;134667.0;61.0;3.0;2243.0
2021-12-23;Normandie;129921.0;49.0;2.0;3269.0
2021-12-27;Normandie;115812.0;61.0;3.0;1936.0
2021-12-28;Normandie;112385.0;54.0;2.0;2116.0
2021-12-29;Normandie;115900.0;56.0;3.0;2185.0
2021-12-30;Normandie;177143.0;57.0;3.0;3041.0
2021-12-31;Normandie;112554.0;62.0;3.0;1985.0
